Code;municipality ;Year ;Registered Unemployed
1401;Abrantes;1999;1843
1401;Abrantes;2000;1842
1401;Abrantes;2001;1794
1401;Abrantes;2002;328
1401;Abrantes;2003;395
1401;Abrantes;2004;400
1401;Abrantes;2005;2182
1401;Abrantes;2006;2038
1401;Abrantes;2007;2041
1401;Abrantes;2008;1627
1401;Abrantes;2009;2005
1401;Abrantes;2010;2185
1401;Abrantes;2011;2710
1401;Abrantes;2012;2148
1401;Abrantes;2013;6448
1401;Abrantes;2014;6296
1401;Abrantes;2015;2249
1401;Abrantes;2016;1914
0101;Águeda;1999;1165
0101;Águeda;2000;1058
0101;Águeda;2001;1794
0101;Águeda;2002;1821
0101;Águeda;2003;1911
0101;Águeda;2004;1590
0101;Águeda;2005;1800
0101;Águeda;2006;1958
0101;Águeda;2007;1951
0101;Águeda;2008;1352
0101;Águeda;2009;1809
0101;Águeda;2010;2312
0101;Águeda;2011;2412
0101;Águeda;2012;2008
0101;Águeda;2013;2804
0101;Águeda;2014;2457
0101;Águeda;2015;2179
0101;Águeda;2016;1891
0901;Aguiar da Beira;1999;252
0901;Aguiar da Beira;2000;248
0901;Aguiar da Beira;2001;711
0901;Aguiar da Beira;2002;1151
0901;Aguiar da Beira;2003;1313
0901;Aguiar da Beira;2004;242
0901;Aguiar da Beira;2005;232
0901;Aguiar da Beira;2006;256
0901;Aguiar da Beira;2007;214
0901;Aguiar da Beira;2008;195
0901;Aguiar da Beira;2009;200
0901;Aguiar da Beira;2010;239
0901;Aguiar da Beira;2011;199
0901;Aguiar da Beira;2012;223
0901;Aguiar da Beira;2013;236
0901;Aguiar da Beira;2014;262
0901;Aguiar da Beira;2015;244
0901;Aguiar da Beira;2016;201
0701;Alandroal;1999;259
0701;Alandroal;2000;252
0701;Alandroal;2001;266
0701;Alandroal;2002;254
0701;Alandroal;2003;248
0701;Alandroal;2004;241
0701;Alandroal;2005;219
0701;Alandroal;2006;193
0701;Alandroal;2007;195
0701;Alandroal;2008;126
0701;Alandroal;2009;219
0701;Alandroal;2010;273
0701;Alandroal;2011;330
0701;Alandroal;2012;296
0701;Alandroal;2013;407
0701;Alandroal;2014;336
0701;Alandroal;2015;270
0701;Alandroal;2016;319
0102;Albergaria-a-Velha;1999;788
0102;Albergaria-a-Velha;2000;821
0102;Albergaria-a-Velha;2001;286
0102;Albergaria-a-Velha;2002;264
0102;Albergaria-a-Velha;2003;252
0102;Albergaria-a-Velha;2004;939
0102;Albergaria-a-Velha;2005;988
0102;Albergaria-a-Velha;2006;993
0102;Albergaria-a-Velha;2007;1008
0102;Albergaria-a-Velha;2008;797
0102;Albergaria-a-Velha;2009;1009
0102;Albergaria-a-Velha;2010;1250
0102;Albergaria-a-Velha;2011;1279
0102;Albergaria-a-Velha;2012;1114
0102;Albergaria-a-Velha;2013;1301
0102;Albergaria-a-Velha;2014;1308
0102;Albergaria-a-Velha;2015;1081
0102;Albergaria-a-Velha;2016;1045
0801;Albufeira;1999;1324
0801;Albufeira;2000;1243
0801;Albufeira;2001;592
0801;Albufeira;2002;766
0801;Albufeira;2003;821
0801;Albufeira;2004;1645
0801;Albufeira;2005;1836
0801;Albufeira;2006;1876
0801;Albufeira;2007;1895
0801;Albufeira;2008;2009
0801;Albufeira;2009;2688
0801;Albufeira;2010;3956
0801;Albufeira;2011;4547
0801;Albufeira;2012;4136
0801;Albufeira;2013;4930
0801;Albufeira;2014;4079
0801;Albufeira;2015;4070
0801;Albufeira;2016;4257
1501;Alcácer do Sal;1999;564
1501;Alcácer do Sal;2000;532
1501;Alcácer do Sal;2001;977
1501;Alcácer do Sal;2002;1311
1501;Alcácer do Sal;2003;1442
1501;Alcácer do Sal;2004;448
1501;Alcácer do Sal;2005;375
1501;Alcácer do Sal;2006;373
1501;Alcácer do Sal;2007;402
1501;Alcácer do Sal;2008;244
1501;Alcácer do Sal;2009;363
1501;Alcácer do Sal;2010;529
1501;Alcácer do Sal;2011;547
1501;Alcácer do Sal;2012;474
1501;Alcácer do Sal;2013;661
1501;Alcácer do Sal;2014;654
1501;Alcácer do Sal;2015;482
1501;Alcácer do Sal;2016;365
1402;Alcanena;1999;472
1402;Alcanena;2000;489
1402;Alcanena;2001;721
1402;Alcanena;2002;584
1402;Alcanena;2003;532
1402;Alcanena;2004;511
1402;Alcanena;2005;576
1402;Alcanena;2006;580
1402;Alcanena;2007;431
1402;Alcanena;2008;361
1402;Alcanena;2009;408
1402;Alcanena;2010;550
1402;Alcanena;2011;596
1402;Alcanena;2012;502
1402;Alcanena;2013;548
1402;Alcanena;2014;555
1402;Alcanena;2015;438
1402;Alcanena;2016;447
1001;Alcobaça;1999;1422
1001;Alcobaça;2000;1363
1001;Alcobaça;2001;409
1001;Alcobaça;2002;460
1001;Alcobaça;2003;489
1001;Alcobaça;2004;1659
1001;Alcobaça;2005;1828
1001;Alcobaça;2006;1921
1001;Alcobaça;2007;1899
1001;Alcobaça;2008;1671
1001;Alcobaça;2009;2262
1001;Alcobaça;2010;2574
1001;Alcobaça;2011;2845
1001;Alcobaça;2012;2602
1001;Alcobaça;2013;2770
1001;Alcobaça;2014;2508
1001;Alcobaça;2015;2140
1001;Alcobaça;2016;1761
1502;Alcochete;1999;508
1502;Alcochete;2000;508
1502;Alcochete;2001;1163
1502;Alcochete;2002;1411
1502;Alcochete;2003;1515
1502;Alcochete;2004;540
1502;Alcochete;2005;513
1502;Alcochete;2006;497
1502;Alcochete;2007;454
1502;Alcochete;2008;369
1502;Alcochete;2009;497
1502;Alcochete;2010;693
1502;Alcochete;2011;881
1502;Alcochete;2012;687
1502;Alcochete;2013;571
1502;Alcochete;2014;512
1502;Alcochete;2015;885
1502;Alcochete;2016;848
0802;Alcoutim;1999;105
0802;Alcoutim;2000;101
0802;Alcoutim;2001;474
0802;Alcoutim;2002;507
0802;Alcoutim;2003;508
0802;Alcoutim;2004;79
0802;Alcoutim;2005;80
0802;Alcoutim;2006;60
0802;Alcoutim;2007;76
0802;Alcoutim;2008;43
0802;Alcoutim;2009;48
0802;Alcoutim;2010;47
0802;Alcoutim;2011;67
0802;Alcoutim;2012;54
0802;Alcoutim;2013;95
0802;Alcoutim;2014;77
0802;Alcoutim;2015;79
0802;Alcoutim;2016;75
1101;Alenquer;1999;1256
1101;Alenquer;2000;1212
1101;Alenquer;2001;137
1101;Alenquer;2002;108
1101;Alenquer;2003;101
1101;Alenquer;2004;1432
1101;Alenquer;2005;1612
1101;Alenquer;2006;1615
1101;Alenquer;2007;1676
1101;Alenquer;2008;1339
1101;Alenquer;2009;1752
1101;Alenquer;2010;2074
1101;Alenquer;2011;2357
1101;Alenquer;2012;1956
1101;Alenquer;2013;3341
1101;Alenquer;2014;2582
1101;Alenquer;2015;1695
1101;Alenquer;2016;1547
0401;Alfândega da Fé;1999;278
0401;Alfândega da Fé;2000;280
0401;Alfândega da Fé;2001;1056
0401;Alfândega da Fé;2002;1244
0401;Alfândega da Fé;2003;1336
0401;Alfândega da Fé;2004;256
0401;Alfândega da Fé;2005;290
0401;Alfândega da Fé;2006;315
0401;Alfândega da Fé;2007;277
0401;Alfândega da Fé;2008;256
0401;Alfândega da Fé;2009;250
0401;Alfândega da Fé;2010;298
0401;Alfândega da Fé;2011;355
0401;Alfândega da Fé;2012;285
0401;Alfândega da Fé;2013;298
0401;Alfândega da Fé;2014;315
0401;Alfândega da Fé;2015;469
0401;Alfândega da Fé;2016;405
1701;Alijó;1999;550
1701;Alijó;2000;543
1701;Alijó;2001;298
1701;Alijó;2002;277
1701;Alijó;2003;280
1701;Alijó;2004;502
1701;Alijó;2005;506
1701;Alijó;2006;575
1701;Alijó;2007;542
1701;Alijó;2008;578
1701;Alijó;2009;621
1701;Alijó;2010;653
1701;Alijó;2011;724
1701;Alijó;2012;683
1701;Alijó;2013;796
1701;Alijó;2014;771
1701;Alijó;2015;698
1701;Alijó;2016;581
0803;Aljezur;1999;159
0803;Aljezur;2000;161
0803;Aljezur;2001;609
0803;Aljezur;2002;555
0803;Aljezur;2003;543
0803;Aljezur;2004;155
0803;Aljezur;2005;169
0803;Aljezur;2006;149
0803;Aljezur;2007;144
0803;Aljezur;2008;113
0803;Aljezur;2009;144
0803;Aljezur;2010;216
0803;Aljezur;2011;307
0803;Aljezur;2012;261
0803;Aljezur;2013;362
0803;Aljezur;2014;268
0803;Aljezur;2015;287
0803;Aljezur;2016;224
0201;Aljustrel;1999;654
0201;Aljustrel;2000;663
0201;Aljustrel;2001;161
0201;Aljustrel;2002;158
0201;Aljustrel;2003;161
0201;Aljustrel;2004;623
0201;Aljustrel;2005;712
0201;Aljustrel;2006;563
0201;Aljustrel;2007;416
0201;Aljustrel;2008;298
0201;Aljustrel;2009;519
0201;Aljustrel;2010;390
0201;Aljustrel;2011;361
0201;Aljustrel;2012;352
0201;Aljustrel;2013;418
0201;Aljustrel;2014;479
0201;Aljustrel;2015;338
0201;Aljustrel;2016;420
1503;Almada;1999;7919
1503;Almada;2000;7602
1503;Almada;2001;671
1503;Almada;2002;647
1503;Almada;2003;663
1503;Almada;2004;9188
1503;Almada;2005;7907
1503;Almada;2006;7446
1503;Almada;2007;6436
1503;Almada;2008;5462
1503;Almada;2009;5982
1503;Almada;2010;7890
1503;Almada;2011;9282
1503;Almada;2012;8238
1503;Almada;2013;1043
1503;Almada;2014;1006
1503;Almada;2015;9527
1503;Almada;2016;8604
0902;Almeida;1999;213
0902;Almeida;2000;198
0902;Almeida;2001;6821
0902;Almeida;2002;8004
0902;Almeida;2003;7980
0902;Almeida;2004;119
0902;Almeida;2005;121
0902;Almeida;2006;118
0902;Almeida;2007;156
0902;Almeida;2008;154
0902;Almeida;2009;142
0902;Almeida;2010;205
0902;Almeida;2011;185
0902;Almeida;2012;180
0902;Almeida;2013;237
0902;Almeida;2014;257
0902;Almeida;2015;191
0902;Almeida;2016;168
1403;Almeirim;1999;1091
1403;Almeirim;2000;1070
1403;Almeirim;2001;328
1403;Almeirim;2002;224
1403;Almeirim;2003;198
1403;Almeirim;2004;1177
1403;Almeirim;2005;1227
1403;Almeirim;2006;1287
1403;Almeirim;2007;1106
1403;Almeirim;2008;965
1403;Almeirim;2009;1031
1403;Almeirim;2010;1233
1403;Almeirim;2011;1539
1403;Almeirim;2012;1177
1403;Almeirim;2013;2838
1403;Almeirim;2014;2466
1403;Almeirim;2015;1290
1403;Almeirim;2016;1217
0202;Almodôvar;1999;534
0202;Almodôvar;2000;556
0202;Almodôvar;2001;999
0202;Almodôvar;2002;1088
0202;Almodôvar;2003;1123
0202;Almodôvar;2004;734
0202;Almodôvar;2005;664
0202;Almodôvar;2006;614
0202;Almodôvar;2007;519
0202;Almodôvar;2008;481
0202;Almodôvar;2009;464
0202;Almodôvar;2010;508
0202;Almodôvar;2011;523
0202;Almodôvar;2012;492
0202;Almodôvar;2013;542
0202;Almodôvar;2014;507
0202;Almodôvar;2015;377
0202;Almodôvar;2016;342
1404;Alpiarça;1999;425
1404;Alpiarça;2000;431
1404;Alpiarça;2001;306
1404;Alpiarça;2002;520
1404;Alpiarça;2003;556
1404;Alpiarça;2004;429
1404;Alpiarça;2005;463
1404;Alpiarça;2006;411
1404;Alpiarça;2007;371
1404;Alpiarça;2008;290
